open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_base_volume,taker_quote_volume,ignore,return_1d,return_7d,volatility_20d,rsi,macd,macd_signal,macd_histogram,sma_20,sma_50,sma_200,bb_upper,bb_lower,bb_width,stoch_k,stoch_d
2023-10-01,26962.57,28065.51,26954.09,27992.57,24602.81468,2023-10-01 23:59:59.999,674657121.9944204,883593,12815.98694,351622961.4701274,0,0.03820149125305594,0.06644943421270177,0.2619943242475725,67.28667709721753,155.51092800058177,10.648195635438903,144.86273236514288,26656.2645,26578.1002,28017.18855,27561.167689263333,25751.36131073667,0.06789422345830429,96.48490397821746,74.32419022017052
2023-10-02,27992.58,28580.0,27281.44,27494.51,57071.14241,2023-10-02 23:59:59.999,1600944483.4902065,1464158,28423.61,797598852.4797783,0,-0.017792578530660186,0.04522746980495196,0.2611600978925652,59.39749274825836,195.4571805499727,47.609992618345665,147.84718793162702,26738.985000000004,26541.9136,28029.667200000004,27632.732874347104,25845.237125652904,0.06684979810169309,58.081744248013116,73.2241223872917
2023-10-03,27494.51,27676.52,27160.5,27426.46,28928.96555,2023-10-03 23:59:59.999,794301815.4265021,1202377,13562.03527,372402100.7967512,0,-0.0024750395624435484,0.04594634895489125,0.2568243501258474,58.39015798463685,219.0981797775603,81.9076300501886,137.1905497273717,26799.208000000002,26501.8242,28029.82385,27707.694489202768,25890.721510797237,0.06779950282133451,55.45386439290374,70.00683753971144
2023-10-04,27426.45,27839.72,27202.0,27778.57,29816.142,2023-10-04 23:59:59.999,820421385.2557852,1188381,15077.70185,414806576.3484014,0,0.012838332034101452,0.053296194326088786,0.25782504660040806,61.982851431983704,263.2120318244997,118.16851040505082,145.0435214194489,26862.0,26473.3956,28034.17925,27855.03490800675,25868.96509199325,0.07393603663217556,69.05126006935595,60.862289570090944
2023-10-05,27778.57,28120.39,27352.0,27410.39,30681.49619,2023-10-05 23:59:59.999,849415594.0472504,1210397,14985.99405,415039706.5866476,0,-0.013254101993011136,0.014396002574256883,0.2663196032906484,56.49041109845527,265.4041149743862,147.6156313189179,117.78848365546827,26902.519500000002,26446.993200000004,28031.366850000002,27915.420545225534,25889.61845477447,0.07530157502352383,54.833290854746394,59.77947177233537
2023-10-06,27410.39,28295.0,27175.94,27931.09,37983.24277,2023-10-06 23:59:59.999,1052864393.8176136,1326700,19091.24006,529241188.5573689,0,0.01899644623808716,0.03806189922607395,0.27596127515759067,61.66421773582997,305.6343326562128,179.2193715863769,126.4149610698359,26971.0905,26473.1468,28032.437250000003,28064.362148776727,25877.81885122327,0.08106988842566291,74.94110923175546,66.27522005195262
2023-10-07,27931.1,28029.67,27842.08,27956.67,13348.83825,2023-10-07 23:59:59.999,372820279.5231431,641623,6392.35089,178534947.7787839,0,0.0009158253401495564,0.03687001531011891,0.27554354998712677,61.903882164902015,335.7112914364916,210.51775555639983,125.19353588009176,27042.548499999997,26511.2002,28031.693249999997,28195.691410974607,25889.405589025388,0.08528359751113027,75.92892946237549,68.56777651629245
2023-10-08,27956.67,28095.14,27687.5,27917.05,19693.56921,2023-10-08 23:59:59.999,549839951.4800811,822730,9216.08271,257333249.5330772,0,-0.0014171931063320375,-0.002697858753233473,0.2746447328743689,61.26501522994381,352.28952077788927,238.87210860069774,113.41741217719152,27100.2755,26547.540999999997,28035.02365,28305.960039761125,25894.590960238875,0.08897950426822229,74.39892799493344,75.08965556302148
2023-10-09,27917.06,27987.93,27260.0,27590.12,31534.74639,2023-10-09 23:59:59.999,870014634.3621609,1156525,15077.43003,415887241.10445,0,-0.01171076456860598,0.0034774214925088476,0.2726289223519913,56.11838814761352,335.1835805664159,258.1344029938414,77.04917757257454,27119.2685,26575.543599999997,28031.497199999998,28343.115909610773,25895.421090389224,0.09025666821439338,60.27226828700541,70.20004191477146
2023-10-10,27590.12,27735.0,27298.0,27390.12,22776.84383,2023-10-10 23:59:59.999,626258724.2775784,1002272,10851.22317,298354384.6981499,0,-0.007248971733359588,-0.001324997830562169,0.2743281236820233,53.17544936399671,302.00731879883824,266.90898615484076,35.09833264399748,27132.5245,26600.807599999996,28031.17545,28362.063085347774,25902.985914652225,0.09063208145985639,51.786510206893134,62.152568829610665
